PARAMETER,YEAR,LAT,LON,PREC [mm/day]
PRECTOTCORR,1984,17.75,-153.25,0
PRECTOTCORR,1984,17.75,-153.75,0
PRECTOTCORR,1984,17.75,-154.25,0
PRECTOTCORR,1984,17.75,-154.75,0
PRECTOTCORR,1984,17.75,-155.25,0
PRECTOTCORR,1984,17.75,-155.75,0
PRECTOTCORR,1984,17.75,-156.25,0
PRECTOTCORR,1984,17.75,-156.75,0
PRECTOTCORR,1984,17.75,-157.25,0
PRECTOTCORR,1984,17.75,-157.75,0
PRECTOTCORR,1984,17.75,-158.25,0
PRECTOTCORR,1984,17.75,-158.75,0
PRECTOTCORR,1984,17.75,-159.25,0
PRECTOTCORR,1984,17.75,-159.75,0
PRECTOTCORR,1984,17.75,-160.25,0
PRECTOTCORR,1984,17.75,-160.75,0
PRECTOTCORR,1984,17.75,-161.25,0
PRECTOTCORR,1984,17.75,-161.75,0
PRECTOTCORR,1984,18.25,-153.25,0
PRECTOTCORR,1984,18.25,-153.75,0
PRECTOTCORR,1984,18.25,-154.25,0
PRECTOTCORR,1984,18.25,-154.75,0
PRECTOTCORR,1984,18.25,-155.25,0
PRECTOTCORR,1984,18.25,-155.75,0
PRECTOTCORR,1984,18.25,-156.25,0
PRECTOTCORR,1984,18.25,-156.75,0
PRECTOTCORR,1984,18.25,-157.25,0
PRECTOTCORR,1984,18.25,-157.75,0
PRECTOTCORR,1984,18.25,-158.25,0
PRECTOTCORR,1984,18.25,-158.75,0
PRECTOTCORR,1984,18.25,-159.25,0
PRECTOTCORR,1984,18.25,-159.75,0
PRECTOTCORR,1984,18.25,-160.25,0
PRECTOTCORR,1984,18.25,-160.75,0
PRECTOTCORR,1984,18.25,-161.25,0
PRECTOTCORR,1984,18.25,-161.75,0
PRECTOTCORR,1984,18.75,-153.25,0
PRECTOTCORR,1984,18.75,-153.75,0
PRECTOTCORR,1984,18.75,-154.25,0
PRECTOTCORR,1984,18.75,-154.75,0
PRECTOTCORR,1984,18.75,-155.25,1.05
PRECTOTCORR,1984,18.75,-155.75,2.11
PRECTOTCORR,1984,18.75,-156.25,0
PRECTOTCORR,1984,18.75,-156.75,0
PRECTOTCORR,1984,18.75,-157.25,0
PRECTOTCORR,1984,18.75,-157.75,0
PRECTOTCORR,1984,18.75,-158.25,0
PRECTOTCORR,1984,18.75,-158.75,0
PRECTOTCORR,1984,18.75,-159.25,0
PRECTOTCORR,1984,18.75,-159.75,0
PRECTOTCORR,1984,18.75,-160.25,0
PRECTOTCORR,1984,18.75,-160.75,0
PRECTOTCORR,1984,18.75,-161.25,0
PRECTOTCORR,1984,18.75,-161.75,0
PRECTOTCORR,1984,19.25,-153.25,0
PRECTOTCORR,1984,19.25,-153.75,0
PRECTOTCORR,1984,19.25,-154.25,2.11
PRECTOTCORR,1984,19.25,-154.75,4.22
PRECTOTCORR,1984,19.25,-155.25,5.27
PRECTOTCORR,1984,19.25,-155.75,4.75
PRECTOTCORR,1984,19.25,-156.25,2.64
PRECTOTCORR,1984,19.25,-156.75,0.53
PRECTOTCORR,1984,19.25,-157.25,0
PRECTOTCORR,1984,19.25,-157.75,0
PRECTOTCORR,1984,19.25,-158.25,0
PRECTOTCORR,1984,19.25,-158.75,0
PRECTOTCORR,1984,19.25,-159.25,0
PRECTOTCORR,1984,19.25,-159.75,0
PRECTOTCORR,1984,19.25,-160.25,0
PRECTOTCORR,1984,19.25,-160.75,0
PRECTOTCORR,1984,19.25,-161.25,0
PRECTOTCORR,1984,19.25,-161.75,0
PRECTOTCORR,1984,19.75,-153.25,0
PRECTOTCORR,1984,19.75,-153.75,0
PRECTOTCORR,1984,19.75,-154.25,2.11
PRECTOTCORR,1984,19.75,-154.75,5.8
PRECTOTCORR,1984,19.75,-155.25,6.86
PRECTOTCORR,1984,19.75,-155.75,5.27
PRECTOTCORR,1984,19.75,-156.25,5.27
PRECTOTCORR,1984,19.75,-156.75,1.05
PRECTOTCORR,1984,19.75,-157.25,0
PRECTOTCORR,1984,19.75,-157.75,0
PRECTOTCORR,1984,19.75,-158.25,0
PRECTOTCORR,1984,19.75,-158.75,0
PRECTOTCORR,1984,19.75,-159.25,0
PRECTOTCORR,1984,19.75,-159.75,0
PRECTOTCORR,1984,19.75,-160.25,0
PRECTOTCORR,1984,19.75,-160.75,0
PRECTOTCORR,1984,19.75,-161.25,0
PRECTOTCORR,1984,19.75,-161.75,0
PRECTOTCORR,1984,20.25,-153.25,0
PRECTOTCORR,1984,20.25,-153.75,0
PRECTOTCORR,1984,20.25,-154.25,0
PRECTOTCORR,1984,20.25,-154.75,1.58
