PARAMETER,YEAR,LAT,LON,TEMP [C]
T2M,1984,17.75,-153.25,24.48
T2M,1984,17.75,-153.75,24.51
T2M,1984,17.75,-154.25,24.54
T2M,1984,17.75,-154.75,24.58
T2M,1984,17.75,-155.25,24.63
T2M,1984,17.75,-155.75,24.68
T2M,1984,17.75,-156.25,24.73
T2M,1984,17.75,-156.75,24.77
T2M,1984,17.75,-157.25,24.81
T2M,1984,17.75,-157.75,24.84
T2M,1984,17.75,-158.25,24.87
T2M,1984,17.75,-158.75,24.9
T2M,1984,17.75,-159.25,24.95
T2M,1984,17.75,-159.75,24.98
T2M,1984,17.75,-160.25,25.03
T2M,1984,17.75,-160.75,25.07
T2M,1984,17.75,-161.25,25.12
T2M,1984,17.75,-161.75,25.17
T2M,1984,18.25,-153.25,24.39
T2M,1984,18.25,-153.75,24.41
T2M,1984,18.25,-154.25,24.45
T2M,1984,18.25,-154.75,24.49
T2M,1984,18.25,-155.25,24.56
T2M,1984,18.25,-155.75,24.65
T2M,1984,18.25,-156.25,24.73
T2M,1984,18.25,-156.75,24.75
T2M,1984,18.25,-157.25,24.77
T2M,1984,18.25,-157.75,24.79
T2M,1984,18.25,-158.25,24.82
T2M,1984,18.25,-158.75,24.84
T2M,1984,18.25,-159.25,24.89
T2M,1984,18.25,-159.75,24.93
T2M,1984,18.25,-160.25,24.97
T2M,1984,18.25,-160.75,25.03
T2M,1984,18.25,-161.25,25.07
T2M,1984,18.25,-161.75,25.13
T2M,1984,18.75,-153.25,24.3
T2M,1984,18.75,-153.75,24.33
T2M,1984,18.75,-154.25,24.37
T2M,1984,18.75,-154.75,24.25
T2M,1984,18.75,-155.25,23.93
T2M,1984,18.75,-155.75,23.84
T2M,1984,18.75,-156.25,24.86
T2M,1984,18.75,-156.75,24.78
T2M,1984,18.75,-157.25,24.75
T2M,1984,18.75,-157.75,24.76
T2M,1984,18.75,-158.25,24.79
T2M,1984,18.75,-158.75,24.82
T2M,1984,18.75,-159.25,24.86
T2M,1984,18.75,-159.75,24.91
T2M,1984,18.75,-160.25,24.95
T2M,1984,18.75,-160.75,25.01
T2M,1984,18.75,-161.25,25.05
T2M,1984,18.75,-161.75,25.1
T2M,1984,19.25,-153.25,24.2
T2M,1984,19.25,-153.75,24.23
T2M,1984,19.25,-154.25,24.29
T2M,1984,19.25,-154.75,23.15
T2M,1984,19.25,-155.25,21.48
T2M,1984,19.25,-155.75,21.09
T2M,1984,19.25,-156.25,24.9
T2M,1984,19.25,-156.75,24.81
T2M,1984,19.25,-157.25,24.76
T2M,1984,19.25,-157.75,24.76
T2M,1984,19.25,-158.25,24.8
T2M,1984,19.25,-158.75,24.84
T2M,1984,19.25,-159.25,24.88
T2M,1984,19.25,-159.75,24.92
T2M,1984,19.25,-160.25,24.96
T2M,1984,19.25,-160.75,25
T2M,1984,19.25,-161.25,25.04
T2M,1984,19.25,-161.75,25.08
T2M,1984,19.75,-153.25,24.12
T2M,1984,19.75,-153.75,24.15
T2M,1984,19.75,-154.25,24.22
T2M,1984,19.75,-154.75,22.98
T2M,1984,19.75,-155.25,20.93
T2M,1984,19.75,-155.75,20.25
T2M,1984,19.75,-156.25,24.85
